NmeComp,mean,std,mean_Max
BoomCylinder_LD,49.1,13.7,51.55500000000001
BoomCylinder_LE,49.1,13.7,51.55500000000001
BucketCylinder_LD,34.2,5.8,35.910000000000004
BucketCylinder_LE,34.2,5.8,35.910000000000004
FinalDrive_LD,49.1,13.7,51.55500000000001
FinalDrive_LE,49.1,13.7,51.55500000000001
PumpDrive_1,49.1,13.7,51.55500000000001
PumpDrive_2,49.1,13.7,51.55500000000001
ShellCylinder_LD,49.1,13.7,51.55500000000001
ShellCylinder_LE,49.1,13.7,51.55500000000001
StickCylinder_LD,49.1,13.7,51.55500000000001
StickCylinder_LE,49.1,13.7,51.55500000000001
SwingDrive_LD,49.1,13.7,51.55500000000001
SwingDrive_LE,49.1,13.7,51.55500000000001
SwingGear_1,49.1,13.7,51.55500000000001
SwingGear_2,49.1,13.7,51.55500000000001
