Dia,Temperatura
2024-04-15,58.19195
2024-04-16,57.98728
2024-04-17,58.00573
2024-04-18,58.480053
2024-04-19,58.22869
2024-04-20,58.110226
2024-04-21,58.775658
2024-04-22,58.505272
2024-04-23,58.16753
2024-04-24,59.0686
2024-04-25,58.840195
2024-04-26,58.178185
2024-04-27,59.33546
2024-04-28,59.26545
2024-04-29,58.158363
2024-04-30,59.529522
2024-05-01,59.823055
2024-05-02,58.14613
2024-05-03,59.566998
2024-05-04,60.56448
2024-05-05,58.195415
2024-05-06,59.318104
2024-05-07,61.544586
2024-05-08,58.35102
2024-05-09,58.657562
2024-05-10,62.79749
2024-05-11,58.614975
2024-05-12,57.75577
2024-05-13,64.267296
2024-05-14,58.911205
2024-05-15,57.41815
2024-05-16,65.744896
2024-05-17,59.117897
2024-05-18,57.840317
2024-05-19,66.98942
2024-05-20,59.21436
2024-05-21,58.203762
2024-05-22,67.88891
2024-05-23,59.22685
2024-05-24,58.413555
2024-05-25,68.461945
2024-05-26,59.181572
2024-05-27,58.518684
2024-05-28,68.78802
2024-05-29,59.099995
2024-05-30,58.54776
2024-05-31,68.948616
2024-06-01,58.995907
2024-06-02,58.530426
2024-06-03,69.00546
2024-06-04,58.87796
2024-06-05,58.48378
2024-06-06,68.99966
2024-06-07,58.75116
2024-06-08,58.419567
2024-06-09,68.95685
2024-06-10,58.618412
2024-06-11,58.344364
2024-06-12,68.89242
2024-06-13,58.481396
2024-06-14,58.26223
2024-06-15,68.81538
2024-06-16,58.34113
2024-06-17,58.17544
2024-06-18,68.730934
2024-06-19,58.198277
2024-06-20,58.085392
2024-06-21,68.642075
2024-06-22,58.053326
2024-06-23,57.9929
2024-06-24,68.55058
2024-06-25,57.906715
2024-06-26,57.898525
2024-06-27,68.45751
2024-06-28,57.758865
2024-06-29,57.802692
2024-06-30,68.36357
2024-07-01,57.610184
2024-07-02,57.705738
2024-07-03,68.269264
2024-07-04,57.461136
2024-07-05,57.60801
2024-07-06,68.17502
2024-07-07,57.312187
2024-07-08,57.509834
2024-07-09,68.0812
2024-07-10,57.16383
2024-07-11,57.41156
2024-07-12,67.988174
2024-07-13,57.016586
2024-07-14,57.31355
2024-07-15,67.896286
2024-07-16,56.87098
2024-07-17,57.216167
2024-07-18,67.80586
2024-07-19,56.72754
2024-07-20,57.119793
2024-07-21,67.71724
2024-07-22,56.58678
2024-07-23,57.024803
