Modelo,MAE,MSE,RMSE,AIC,R2
SARIMAXRedutorGiroTraseiro,7.0933877470032245,108.45251476102726,10.41405371414164,1294.4246081325532,-0.08718446906589317
SARIMAXRedutorGiroFrontal,7.342954096584654,109.24177409709864,10.451878974476246,1317.9895246830492,-0.084150822167125
RNNGRURedutorGiroTraseiro,3.6137841033935545,25.099883208892134,5.009978364114174,1813.1431596547363,0.6204096085377666
RNNGRURedutorGiroFrontal,3.9252052307128906,29.972688812598935,5.4747318484651775,1822.0143297053846,0.570798457868434
RNNLSTMRedutorGiroTraseiro,0.09465758840243019,0.019099981049925566,0.1382026810518724,1874.096603195973,0.3344833563352796
RNNLSTMRedutorGiroFrontal,0.11174486656983693,0.025113288527622873,0.15847172784955327,1887.782092523587,0.1714444512721226
RLMRedutorGiroTraseiro,6.311128609744139,81.9038369874688,9.050073866409534,27.623710283889494,-0.03927270993348464
RLMRedutorGiroFrontal,6.3768307042084,77.17303651732199,8.784818525007902,24.529933295597637,-0.0390362820552026
ARIMARedutorGiroTraseiro,18.08025949728386,342.38748491316386,18.503715435370374,1077.6894380649078,-23.337148198744693
ARIMARedutorGiroFrontal,17.601269427667614,327.321724465014,18.092034834838618,1094.7334082331363,-17.867196861735362
SVRRedutorGiroTraseiro,5.222825828583851,81.80211079034069,9.044451934215843,231.02375847305086,-0.05508349012502256
SVRRedutorGiroFrontal,5.2661634439043,75.58621765750267,8.694033451597864,226.9142459432969,-0.019313090829290447
SVR_AjusRedutorGiroTraseiro,3.8896791803494906,41.13803687949105,6.413894049599747,17.430530479437518,0.4801177612102847
SVR_AjusRedutorGiroFrontal,4.113933687078554,37.11417272172744,6.092140241469121,12.386752018218438,0.5463697378086562
